Комментарий,Время,Лайки
"неинтересно про импортных маньяков и импортные тру крайм стори. Саша, хочется историй про советских, пост советских, российских и СНГ-ых.",2023-12-15T11:54:22Z,0
"Безумно было интересно, особенно про детектива, его история, спасибо большое Александре за выпуск. Ни один не пропустила и не жалею!  Интересный гость, было приятно слушать данный выпуск. С нетерпением жду следующий",2023-12-15T11:43:23Z,2
Вообще не понимаю о чем речь,2023-12-15T11:28:14Z,0
"какое же скучное вещание....прям ужасно. Темы интересные, но подача....прям очень плохо. Посмотрите как снимали криминальную россию или расследования по нтв про тех же маньяков. Там целый сценарий и сюжет был...а у вас как на лекции в универе подается всё.",2023-12-15T11:16:00Z,2
"Саша,Вы очень талантливы,смотреть Вас огромное удовольствие",2023-12-15T10:57:53Z,0
Здравствуйте! Расскажите про  Олега Кузнецова и Николая Фефилова.,2023-12-15T10:48:18Z,0
"Очень-очень интересный выпуск. До мурашек. Спасибо, что рассказали о Петрозино.",2023-12-15T10:30:13Z,1
Дно - выпуск !,2023-12-15T09:22:36Z,0
"Выпуск топовый, подача вне всяких похвал. Но почему в начале выпуска такой неуместный тайп бит играет? Он ведь совершенно не подходит тематике вашего канала. Было бы лучше вставить какую нибудь спокойную классику.",2023-12-15T09:05:25Z,0
Посмотрите пожалуйста как работает Минаев и его расследование про Чикатило и как работает п**** которая решила что она интервьюер,2023-12-15T08:44:56Z,0
Вот про кого нужно снимать фильмы и сериалы👍🏻,2023-12-15T08:42:44Z,1
Все ещё ждём в формате подкаст,2023-12-15T08:40:56Z,1
"Бля, шо за дед ""и так далее и так далее""🫠 пиздец какой он заурядный и напряженый🤦",2023-12-15T07:45:19Z,0
"Я просто влюблена а Сашу! Как качественно она делаю всю свою работу, стильно и интересно. Ну и конечно радуется глаз когда на нее смотришь. Удачи каналу и Саше❤смотрю все с огромным удоволствием",2023-12-15T07:12:17Z,3
"Александра, я Вами любуюсь! Было бы здорово посмотреть про банду Боровикова-Воеводина и/или Венгервельда-Мумжиева. Они в СПб орудовали.
В общем направленность таких группировок...должен получится крутой контент.",2023-12-15T07:04:08Z,0
"Скучный выпуск, неинтересно.",2023-12-15T06:59:55Z,0
"Ой, какой прекрасный выпуск! Интересно очень и без жестятины 👍",2023-12-15T06:50:52Z,0
где же наш петросяно противостоящий гопоте из слово пацана.,2023-12-15T06:07:06Z,1
Расскажите о Спесивцеве,2023-12-15T04:53:49Z,0
"Мега интересно! Прям документальный фильм , профессионально ❤❤❤",2023-12-15T04:51:44Z,0
Саша молодчинка!,2023-12-15T04:50:32Z,0
"круто, очень круто! круто, что Саша отходит от узкой темы маньяков, очень интересно у неё это получается) особенно эта история крутая",2023-12-15T04:48:50Z,4
"Саша, я надеюсь вы про универсамовских уже готовите выпуск?",2023-12-15T04:41:38Z,0
"Саша большая молодец, что завела свой канал❤
Обожаю её подачу",2023-12-15T03:45:08Z,3
"Очень интересно,спасибо.",2023-12-15T02:22:49Z,1
Спасибо.,2023-12-14T23:58:23Z,0
"Отличная двоица вы с Кузнецовым!!🦾Так держать!✊🙂
Сделайте про исчезновения в Универе Барнаула, пжст",2023-12-14T23:19:49Z,1
Блин Саша на обложках выглядит как Смерть.,2023-12-14T23:00:00Z,2
Саша и Алексей Валерьевич❤ этот выпуск как праздник,2023-12-14T22:54:48Z,0
"1. Интересно.
2. Профессиональные съёмки, задающие высокую планку.
3. Крутая музыка в заставке, респект битмейкеру/композитору.
4. Очень страшно. Без приколов - просто очень страшно, но этот страх очень заставляет позвонить родителям/друзьям, не отключать голову и вообще бдить.
5. Саша очень красивая. Хочу, чтобы у неё всё было хорошо и чтобы она была счастлива. (Я занят, извините, но биты/саундтреки сами себя не напишут, поэтому даже не предлагайте ничего, нет, нет и ещё раз, простите, не могу!!!)
6. Подобные видео очень важны, потому что многие люди живут в иллюзии, что только в одной стране всё плохо, а в других - рай/идеально вообще всё. Это крайне-опасное заблуждение, которое вредит вообще всем.
7. Такие видео заставляют ценить те дружеские/семейные связи, которые у нас есть, заставляют пересмотреть нашу ""скучную"" жизнь и ещё раз поблагодарить тех отчаянных смельчаков, которые жертвуют собой, чтобы мы жили в нормальных условиях.",2023-12-14T22:03:26Z,4
"даже те, кто похищает и убивает детей своей национальности, не так мерзки, как те, кто их покрывает.
Петрозино - Мужик!",2023-12-14T21:24:12Z,1
"Я как человек который смотрел самых топовых тру крайм повествователей , уверенно могу сказать что этот канал единственный в своём роде. Здесь не только рассказ от криминального журналиста, еще интервью следователей , психолога. Очень интересный разбор преступников. Я в восторге",2023-12-14T21:14:44Z,9
"Почему-то для меня тру Краймы с одним , или максимум двумя главными персонажами более интересны, раскрывается личность , психика преступника. А когда про банды совсем не залетает. Саша ждём истории индивидуальных преступников убийц 😅",2023-12-14T21:11:23Z,5
Опять же... Одного часа мало=(,2023-12-14T19:56:33Z,0
"Саша, спасибо за интересную историю! Всегда с удовольствием смотрю все выпуски на канале. Отдельный респект за Алексея Валерьевича в качестве приглашенного эксперта - он безусловный профессионал, обожаю его передачу ""Не так"" 👍🏻👍🏻👍🏻",2023-12-14T19:39:52Z,1
спасибо,2023-12-14T18:51:01Z,0
"Столько восторженных коментов, не понимаю, я на 18 минуте и мне неинтересно.",2023-12-14T18:49:23Z,1
Алексей Кузнецов прекрасен❤❤❤❤,2023-12-14T18:48:47Z,1
"Александра, не ""брелкИ"", а ""брелОки""",2023-12-14T18:41:25Z,0
Вы с каждым новым роликом словно на новый уровень выходите. Все аспекты прекрасны и повествование и монтаж и включение мнение профессионалов. Получается цельная картина. Спасибо за это время с вами,2023-12-14T18:41:13Z,5
"Пришла уставшая. Посмотрела про убийц - стало легче. 
Спасибо Саша❤",2023-12-14T18:12:23Z,4
Николай Джумагалиев,2023-12-14T18:11:56Z,1
"Саша на вас так приятно смотреть а слушать одно удовольствие! Спасибо за очередной фильм, всегда в ожидании следующего!!!",2023-12-14T17:53:54Z,3
"Можно рассказать о парочке французов с беспокойной фантазией: Анри Ландрю, который практически не оставил следов или Марселе Петио, который оставил множество следов в страшное время немецкой оккупации",2023-12-14T17:15:07Z,1
"Классный выпуск, Петрозино настоящий супер-герой своего времени! А эксперт выпуска такой приятный и грамотный мужчина с обаятельной манерой повествования.",2023-12-14T17:11:47Z,3
Шикарно. Приглашайте чаще Кузнецова.,2023-12-14T17:11:33Z,1
Про Ивана Панченко светлоградского маньяка,2023-12-14T16:56:12Z,0
Саша сними фильм про фишера,2023-12-14T16:53:05Z,0
"Алексей Валерьевич прекрасен) благодарю, что позвали именно его для этого выпуска)",2023-12-14T16:45:19Z,1
"Очень классно, интересно послушать про первого серийного убийцу Ге́нри Го́вард Холмса",2023-12-14T16:40:27Z,0
"Александра,спасибо за то,что делаете такой интересный и захватывающий контент! Сделайте выпуск про банду Боровикова-Воеводина.",2023-12-14T15:45:10Z,4
Потрясающая работа!,2023-12-14T15:42:42Z,0
"Прекрасная Саша, огненный контент, спасибо!",2023-12-14T15:38:51Z,2
"Ну почему вот хорошие умирают, а всякое говно живет 😢😢😢",2023-12-14T15:29:44Z,0
"Алексей Валерьевич бесподобен!! Можно слушать часами!! Саша и Ваша группа, Вы, как всегда, великолепны!!",2023-12-14T15:28:58Z,4
Лучше бы про наших фриков/маньяков рассказала,2023-12-14T15:26:55Z,0
Есть какие то худ фильмы про эту историю,2023-12-14T15:22:21Z,1
"Саша, расскажите, пожалуйста, про Джека Унтервегера!",2023-12-14T15:13:12Z,0
"Сделайте выпуск о том каннибале, который оказался на СВО, а потом демобилизовался.",2023-12-14T15:07:38Z,2
Саша и ее выпуски - любовь на всегда❤,2023-12-14T15:01:21Z,2
"О боже какой интересный эксперт, никогда не думала что про историю США будет интересно слушать наравне с историями мафии",2023-12-14T14:53:29Z,2
"Саша, а как на счет Аль Капоне? Говорят, что его последние дни сложились не совсем подобающе мафиозному боссу. Интересно было бы посмотреть.",2023-12-14T14:45:22Z,2
"Я вот смотрю , а не родственница ли Саша Сулим , нашему уважаемому Николаю Васильевичу?",2023-12-14T14:40:10Z,0
Спасибо Александре и Алексею! Смотрю все выпуски. Что-то такая гордость прошибла за Джо как-б. он мой родственник или я итальянец...Значит зацепило.,2023-12-14T14:29:29Z,2
"Трукрайм здорового человека, когда в центре повествования детектив, а не маньяк. У Саши эта идея прослеживается еще с выпусков про ангарского маньяка. Потрясающий голос, речь. Потрясающе выглядишь",2023-12-14T14:27:02Z,230
Класс😊,2023-12-14T14:17:10Z,0
Первый убитый Вито Корлеоне был из черной руки чел,2023-12-14T14:07:25Z,0
Сложно сдержать слезы после рассказа о Петрозино и его жене и ребёнке😢,2023-12-14T13:58:09Z,0
тн Русская Мафия в США целиком состоит из евреев😉,2023-12-14T13:55:59Z,0
"Очень круто, что Саша добавляет настоящих криминалистов и следователей , интересно очень слушать",2023-12-14T13:51:55Z,0
"Саша, спасибо вам и за ваш уникальный контент, и за вашу принципиальность, и за вашу позицию",2023-12-14T13:50:42Z,0
"Саша, сними пожалуйста подкаст про даниловского маньяка🙏",2023-12-14T13:43:54Z,0
Как всегда понравился выпуск.Очень профессионально!Спасибо,2023-12-14T13:24:12Z,0
"Какой тандем! Новый ролик это классно, а ролик с Алексеем Валерьевичем - классно вдвойне :)",2023-12-14T13:17:48Z,1
Как всегда интересно! Захотелось пересмотреть Нарко про Эскобара))),2023-12-14T13:08:22Z,0
Саша! Составьте пожалуйста рейтинг по количеству известных маньяков по городам России!,2023-12-14T12:57:52Z,0
"Саша спасибо Вам за выпуск. Сделайте пожалуйста выпуск про Анатолия Сливко, он же ""Заслуженный мучитель"". Поистине один из самых необычных случаев в истории изучения феномена серийных убийц. Видел Ваш подкаст на эту тему, но в формате  выпуска с полным погружением там есть о чём рассказать. 

Ребята накидайте лайков, чтобы автор увидел. Спасибо.",2023-12-14T12:51:05Z,1
"Может быть что-то со мной произошло, но в этом видео я не  понял ровным счетом ничего. Два раза пересматривал чтобы понять и уловить суть о чем вещает Саша.",2023-12-14T12:48:48Z,0
"Выпуск получился очень трогательный! Саша, спасибо, что выбрали героя со стороны добра❤ Когда слушаешь такие истории, понимаешь, что всё-таки наш мир не совсем конченый.",2023-12-14T12:47:45Z,7
"на 19 минут 2'е рекламы - это лихо конечно ... 
""спасибо"" войне , теперь рекламу в начале ролика заменили на внутренние вставки.",2023-12-14T12:44:08Z,2
то что делала Саша в этом формате на лейбле смарт как-то пободрее было.,2023-12-14T12:40:53Z,1
Сливко Анатолий.  Педагог убийца.  Хочется услышать от Вас Саша  эту историю.,2023-12-14T12:28:32Z,1
Другие выпуски были интереснее 😢,2023-12-14T12:19:57Z,0
"Саша,расскажи про фишера. Хочется услышать лично от тебя",2023-12-14T12:11:08Z,0
Какой классный специалист Алексей Кузнецов - так интересно и захватывающе рассказывает!,2023-12-14T12:08:43Z,1
Очень много рекламы,2023-12-14T12:02:39Z,1
Cильная интересная история. Спасибо,2023-12-14T11:59:05Z,1
❤,2023-12-14T11:54:52Z,0
"Это супер коллаборация Алексей Кузнецов и Саша Сулим, спасибо за вашу работу!",2023-12-14T11:51:07Z,0
Всегда приятно видеть и слышать тебя ❤,2023-12-14T11:50:42Z,0
Рекомендуйте о ком рассказать в комментариях говорила она) Я осмелюсь спросить про Петручо этого хоть один человек ранее просил?)) 🎉🎉🎉🎉🎉😮😮😮😅😅,2023-12-14T11:47:55Z,0
Алексея Кузнецова приятно слушать. НЕ ТАК ли?,2023-12-14T11:47:36Z,0
"Давайте, лучше, про наших «Петрозинов» снимать выпуски ?!)))",2023-12-14T11:43:43Z,1
Лучше выпуска с Сашей Сулим может быть только выпуск с Сашей и А.В. Кузнецовым ❤️,2023-12-14T11:43:34Z,1
zdelaite o Putine,2023-12-14T11:43:30Z,3
"Было очень интересно, спасибо за работу ❤",2023-12-14T11:37:26Z,3
"Я тут вижу параллели, с игрой мафия 2 , там тоже главный персонаж приехал из Италии в Америку",2023-12-14T11:30:34Z,0
Евгений Петросини не родственник?,2023-12-14T11:24:00Z,2
цікаве відео,2023-12-14T11:19:28Z,1
"про казанского стрелка, пожалуйста",2023-12-14T11:15:51Z,0
"А можно видео о полицейских, которые меняли мир?",2023-12-14T11:12:44Z,2
"Жду выпуски с нетерпением! Спасибо, Саша! ❤️",2023-12-14T11:09:18Z,0
Я посмотрю ещё раз.,2023-12-14T11:03:32Z,1
"Это история не о Черной Руке, а о Джо",2023-12-14T10:52:35Z,0
"Как всегда нереально интересно. Спасибо, Саша!",2023-12-14T10:46:46Z,1
очень интересный рассказ,2023-12-14T10:44:46Z,0
Алексей Валерьевич прекрасно передал дух той эпохи и атмосферу времени. Это шикарно!!! Спасибо за работу!!!,2023-12-14T10:44:42Z,5
"Итальянцы очень харизматичные ,эмоциональные и добродушные люди. Даже мафия у них была самой ""демократичной""",2023-12-14T10:42:41Z,0
"Не ожидала увидеть у вас Алексея Валерьевича, большое спасибо, бальзам на душу!",2023-12-14T10:42:09Z,0
👍👍👍👍👍,2023-12-14T10:27:53Z,0
"Добрый день, понимаю что не ваш формат, но предлагаю пару выпусков, посвятить только полицейским, героически погибшим во время службы. Думаю будет очень интересно!",2023-12-14T10:19:08Z,2
Стоит ли брать эти курсы? Сулим гарантирует?,2023-12-14T10:15:00Z,0
"Замечательный выпуск! Спасибо,  Саша! И спасибо за интересный рассказ Алексею Кузнецову! Его голос завораживает, рассказывая различные истории из прошлого.",2023-12-14T10:09:22Z,3
крутой выпуск,2023-12-14T10:03:59Z,0
Больше видео!!! Саша спасибо ❤,2023-12-14T10:00:03Z,0
"Один из самых интересных кейсов, потому что кроме самих преступлений уделяется внимание психологии, поведению людей.",2023-12-14T09:54:54Z,0
"Хорошая, качественная подача, но что-то эта история не вызвала обычного интереса. Желаю всем, кому интересен этот сюжет, получить удовольствие от Сашиной традиционно профессиональной работы, грамотной речи, приятных манер, а я буду ждать новую историю. 😊",2023-12-14T09:54:34Z,1
"На самом деле, не смотря на то, что это никак к нам не относящийся человек, гордишься как за своего, потому что человек хороший. Внес большой вклад в общество, в профессию. На таких людей хочется ровняться, и раз там есть такие хорошие полицейские то и у нас наверняка есть и будут. Очень приятно было послушать, спасибо",2023-12-14T09:51:48Z,3
"Очень интересный выпуск 👍🏻 жаль Петрозино, он столько старался",2023-12-14T09:50:40Z,0
Спасибо 🌹,2023-12-14T09:47:01Z,0
"Нет, это была история о замечательном полицейском",2023-12-14T09:47:01Z,1
"Очень интересный выпуск, не могла оторваться🔥 спасибо🙌",2023-12-14T09:44:07Z,0
Хотелось бы чаще видеть Алексея Кузнецова в Ваших выпусках!,2023-12-14T09:39:54Z,0
"Было бы интересно послушать про насильников ""близнецов"". В одном районе в одно и то же время орудовади два лифтовых насильника, совершали преступления чуть ли не одновременно в соседних подъездах. По итогу смогли поймать одного и узнали в тот момент про другого. Первый пойманный помогал следствию в поимке ""брата"". Думаю, это очень интересная историю.",2023-12-14T09:36:11Z,1
"Очень интересно сделан акцент на личности того, кто помогал избавиться от зла. Спасибо! Очень интересный выпуск <3",2023-12-14T09:30:15Z,0
Спасибо за выпуск ❤,2023-12-14T09:27:53Z,0
"спасибо за выпуск!
но хочется сказать, что аудио, звуки в выпуске-очень напряженные. в прошлых видео было как-то не так (",2023-12-14T09:20:30Z,0
"Вот же, на одном дыхании смотрела. 
Выпуск потрясающий! До мурашек по коже. 
Ощущение присутствия всех персонажей рядом.",2023-12-14T09:19:12Z,0
Можно про Чарльза Бронсона?,2023-12-14T09:10:02Z,0
Дождался❤❤❤❤❤❤❤,2023-12-14T09:09:07Z,0
Восторг! ❤,2023-12-14T09:08:17Z,0
Спасибо ❤,2023-12-14T09:01:11Z,0
Спасибо ❤,2023-12-14T08:58:59Z,0
"Устраивают геноцид чернокожих, индейцев, итальянцев, а ещё в сторону России говорят.",2023-12-14T08:52:25Z,3
Про Пабло Эскобаро сними пожалуйста выпуск,2023-12-14T08:51:18Z,1
У вас рассинхрон кадров в 12 (,2023-12-14T08:47:01Z,0
"5:24  Я бы посмотрел как бы он рассуждал, если бы сам оказался в такой ситуации.",2023-12-14T08:40:01Z,0
"Искренняя благодарность за формат. В этой истории конечно роль полицейского так раскрыли, что в конце все-таки прослезилась( И действительно смотреть такой формат эмоционально  легче, чем с кучей деталей убийств и акцентах на жертвах.",2023-12-14T08:35:11Z,0
Реально сюжет крутого фильма! Вот про каких полицейских надо снимать блокбастеры!,2023-12-14T08:19:35Z,0
Королева- тру крайм❤,2023-12-14T08:16:05Z,1
"Итальянская мафия кошмарила своих соотечественников, а кошмарить ирландцев у них кишка тонка была?",2023-12-14T08:15:04Z,0
Какая же прекрасная подача материала! Спасибо!,2023-12-14T08:14:29Z,0
"Нужен выпуск про Днепропетровских молоточников, там очень интересная история.",2023-12-14T08:09:46Z,0
Спасибо вам огромное за такой потрясающий выпуск!,2023-12-14T08:05:18Z,0
"Сначала не очень захватывающе, но когда стал раскрываться главный герой - просто блокбастер какой-то. Жаль просмотров мало, Петрозино топ",2023-12-14T08:03:52Z,0
"Очень крутой выпуск, спасибо!",2023-12-14T07:55:43Z,0
Обажаю ваш канал ❤❤❤,2023-12-14T07:53:41Z,0
"Сашенька, как стать твоим рабом? Скажите мне ваши контакты, пожалуйста!",2023-12-14T07:47:19Z,1
я аж слезу пустила на моменте убийства 😢,2023-12-14T07:46:05Z,1
"Такое впечатление, что Петрозино отправили в Италию специально, чтобы избавиться от него",2023-12-14T07:42:05Z,1
"Пожалуйста, сделайте следующий выпуск, о серийном убийце владимире путине",2023-12-14T07:41:53Z,1
Начальник выдал его журналистам...ну это мое мнение,2023-12-14T07:36:44Z,0
Саша ванлав,2023-12-14T07:35:17Z,0
"Хосспади, кроссовер с Не так, вот это мультивселенная",2023-12-14T07:32:33Z,0
"Спасибо, Александра! Жду Ваши новые выпуски!!!",2023-12-14T07:30:10Z,0
"Идиота, который треплет о секретных операциях в интервью нужно было посадить. Спасибо за выпуск! Очень интересно!❤❤❤",2023-12-14T07:25:02Z,1
"Петразина, как будто препарат какой то",2023-12-14T07:21:08Z,1
"Легендарный коллаб и отличное видео!
Всегда интересно слушать про преступления из прошлого",2023-12-14T07:20:56Z,0
"Ты говори про своих маньяков в рабссии,свинина",2023-12-14T07:20:06Z,0
Очень люблю ваши выпуски! Спасибо❤,2023-12-14T07:06:49Z,0
"Вот это тандем! Нравится слушать и Сашу, и Алексея! Спасибо!",2023-12-14T07:05:44Z,0
Одна реклама🤦‍♀️,2023-12-14T07:04:00Z,1
Спасибо за выпуск. Расскажите про Ирину Гайдамачук (Раскольников в юбке),2023-12-14T07:01:22Z,0
"Спасибо! Алексей Кузнецов, как всегда, на высоте!",2023-12-14T06:59:42Z,0
Класный выпуск. Спасибо,2023-12-14T06:55:15Z,0
прослезилась от истории похорон Петрозино. Большое спасибо за такой выпуск и проделанную работу!,2023-12-14T06:53:22Z,3
"Прекрасная история.

Слава богу, Александра перестаа неадевать открытые платья с тесёмочками, и можно, наконец, сосредоточиться на сюжете.

Шучу, конечно, пусть делает как ей нравится, разумеется)",2023-12-14T06:51:44Z,0
Отличный пример для подражания для молодежи!,2023-12-14T06:49:00Z,1
"Интереснейшая тема, Саша можно про Корпорацию убийств, Нью-Йорк))))",2023-12-14T06:46:08Z,0
Какой прекрасный выпуск и герой данного выпуска! Джузеппе Петразино ❤ герой,2023-12-14T06:42:50Z,0
Спасибо❤ было интересно послушать,2023-12-14T06:40:17Z,0
Спасибо за выпуск ❤,2023-12-14T06:34:46Z,0
Саша сулим  с вами хочет увидится большой бэн из банды крипс и рассказать тайны,2023-12-14T06:34:38Z,0
"Спасибо за интересные видео, очень приятно и увлекательно слушать! Особенно нравится, что вы зовете в свои выпуски экспертов.",2023-12-14T06:30:17Z,0
"Спасибо за выпуск🫶с нетерпением ждем новых. Выпуски которые делают мой день, заставляют задуматься",2023-12-14T06:29:31Z,0
Очень понравилось как рассказывает Алексей Кузнецов! Спасибо за выпуск!,2023-12-14T06:28:03Z,1
Отдельный репект за Кузнецова! Его всегда приятно послушать!,2023-12-14T06:24:03Z,0
"Совсем кушать нечего? Саша, Бандиты чёрной руки это комиксы.",2023-12-14T06:16:40Z,0
Отличный выпуск❤,2023-12-14T06:10:36Z,0
Сделайте выпуск про мексиканские картели,2023-12-14T06:08:06Z,0
"Очень понравилось, что фокус именно на героя полицейского!",2023-12-14T06:06:44Z,0
советую выпуск про вашингтонского снайпера,2023-12-14T06:05:32Z,0
"Сниминете современные истории .
К примеру про сестер Хачатутярян, что с ними произошло,",2023-12-14T06:05:06Z,1
"За Алексея Кузнецова отдельное спасибо. Всегда с большим удовольствием слушаю его, великолепный рассказчик!",2023-12-14T06:01:28Z,0
Интересно!,2023-12-14T06:00:43Z,0
Чот рекламы прям мало 🤦,2023-12-14T05:17:01Z,0
Алексей Кузнецов и Александра - ну просто коллаб мечты ❣️❣️❣️ спасибо,2023-12-14T05:13:57Z,0
Please name song at 23:35,2023-12-14T05:12:50Z,1
Это что-то из Гайдая?,2023-12-14T05:07:39Z,2
"Сашуля, благодарю вас за видео ❤️🌹",2023-12-14T04:52:47Z,0
"Неинтересно совершенно. Какие-то петррзины, образины. Даже фоном не  смогла слушать",2023-12-14T04:46:07Z,0
"Спасибо огромное, что фиксирует внимание на человеке, который борется со всеми этими паразитами. Удачи во всех начинаниях и с наступающими",2023-12-14T04:43:49Z,3
Саша мой герой,2023-12-14T04:42:42Z,0
"Александра, спасибо за Вашу работу! Было бы очень интересно послушать об ""Острых козырьках""",2023-12-14T04:25:18Z,0
"Обычно меня не цепляют истории про группировки/ банды. Но этот выпуск я посмотрела на одном дыхании, вслушиваясь в каждое предложение и представляя в голове картинки. Мурашки по коже от этого великого человека- Петрозино! Стоит отблагодарить приглашенного эксперта, Алексея Кузнецова, человек тоже с большой буквы. Саша и команда, спасибо, что знакомите нас с такими Людьми!",2023-12-14T04:22:22Z,3
"Спасибо за выпуск, очень интересно, особенно понравилось большое количество вставок в видео (фото, вырезки и т.д.)",2023-12-14T04:07:26Z,0
"Саша, шикарный выпуск, сделай пожалуйста про билли милигана, очень интересно в твоём исполнении посдушать",2023-12-14T04:05:33Z,0
"Знаете,есть вещь которая бесит почти всех моих знакомых. Да бля знаю,реклама каждые 10 минут .",2023-12-14T03:46:29Z,0
"Потрясающая и необыкновенна как всегда ! Детально, лаконично , профессионально и интересно ❤ Спасибо всей команде и Саше за очередную великолепную работу !",2023-12-14T03:35:15Z,0
"Здравствуйте, спасибо за выпуск, сделайте видео про Суклетина или Михасевича",2023-12-14T03:21:03Z,0
Скукатища,2023-12-14T03:04:57Z,0
"Очень интересно! У меня весь рассказ то мурашки, то слезы. Спасибо за захватывающую историю.",2023-12-14T02:49:46Z,0
Сделайте передачу про Кливлендского расчленителя (Cleveland torso murderer) времен Великой Депрессии. Это нечто. Невероятной наглости и отмороженности преступления.,2023-12-14T02:30:18Z,0
"Вот интересный же подкаст, прекрасная ведущая, но как раздражает ваша реклама. Ладно бы еще одна за выпуск, так нет. Это плохой путь. В наше время, либо делайте прикольные интеграции, либо вообще не стоит. Думаете, кому-то она кроме вас, кому за нее заплатили,она нужна?",2023-12-14T01:56:47Z,1
"Но и самый новый, позволяющий раскрыть новые темы. СС( простите не смогу повторить лого) ищет и находит",2023-12-14T01:54:30Z,0
Самый слабый выпуск,2023-12-14T01:51:39Z,0
"Странно, что эксперт предполагает, что Вито Корлеоне носил записочки",2023-12-14T01:49:02Z,0
"Ерадаш вспомнил: кто это? Это банда ,,черная рукаааа!,,",2023-12-14T01:37:01Z,0
"кузнецооооов!!!!! ❤❤❤
выпуск уже обещает быть очень интересным",2023-12-14T01:31:48Z,0
"Это была не история черной руки, а история Петрозино",2023-12-14T01:20:45Z,0
Ничего поинтересней не могли найти?,2023-12-14T01:10:17Z,0
"Хуйня . Зачем мне расклады  , давней зарубежней чепухи! Саша, неужели в нашей истории нет подобных персонажей??",2023-12-14T00:45:10Z,0
Снимите пожалуйста ролик про медсестру  Viki Dawn Jackson,2023-12-14T00:44:33Z,0
"Тебя выгнал пивоваров, потому что ты ему не стала сосать?",2023-12-14T00:14:31Z,0
"Александра , расскажите пожалуйста про Орского маньяка. Которому удалось скрыться и остаться безнаказанным. 
Недавно читал, что его видели в отеле Кубы.",2023-12-14T00:12:27Z,0
3:02 -- справа Путин смотрит в газету.,2023-12-13T23:56:09Z,0
Игнацио Zalupa,2023-12-13T23:54:14Z,1
Про ваномаса сделайте видео. Он серийный сталкер.,2023-12-13T23:43:04Z,0
"Вы молодец, оч интересно",2023-12-13T23:35:25Z,0
Нужен новый фильм или сериал.,2023-12-13T23:24:41Z,0
"Саша - класс! Говорю, потому что умная, потому, что тëски мы. Люблю, дорогая!",2023-12-13T23:23:53Z,0
"Саша,Вы мне нравитесь!😉",2023-12-13T23:15:12Z,1
Спасибо за интересный выпуск!,2023-12-13T23:14:14Z,0
"Александра безупречна!!!Фон,стиль,манера,утончённость.",2023-12-13T23:12:28Z,0
Ну зачем нам это?🥱,2023-12-13T23:10:25Z,0
лайк ещё до просмотра,2023-12-13T23:10:18Z,0
"Саша, расскажи историю про товарища Голубятникова пожалуйста",2023-12-13T23:04:43Z,0
"Саша как всегда, великолепна, выпуск очень интересный, эксперт очень понравился. Спасибо!",2023-12-13T22:50:40Z,0
Чёрная руукаа вспоминаю уумираю,2023-12-13T22:45:34Z,2
"Давно читал книгу Марио Пьюзо ""Мафия"" там описывалась история итальянской банды чёрная рука и ирландской белая рука",2023-12-13T22:42:07Z,0
Спасибо за очень классный и необычный выпуск! Алексей Кузнецов - супер интересный рассказчик ❤,2023-12-13T22:28:30Z,1
"нужно больше экспертов чем один. а иначе выглядит: я про Черную руку не в курсах, но есть пузатый дядька, с ним и сделаем междусобойчик.",2023-12-13T22:25:15Z,0
"Вообще не интересно, нужен другой контент",2023-12-13T22:21:14Z,0
"Саша, ВЫ прекрасны, но нет. Такие выпуски не тот стиль для зрителя. Частное мнение, не более.",2023-12-13T22:20:51Z,0
Саша какая красивая😍😍😍❤️❤️❤️,2023-12-13T22:15:02Z,0
Всем привет из Нью Йорка,2023-12-13T22:12:19Z,0
Очень интересная история! Спасибо за хороший контент и за отличную подачу материала😊❤,2023-12-13T21:57:21Z,1
Стоп путлер стоп фашизм,2023-12-13T21:48:34Z,1
"Кузнецов специалист по криминалистике? Он же вроде учителем истории в школе работал)))
Его передачи на эхе это очень круто, но странно про специалиста.",2023-12-13T21:45:43Z,0
"Саша, спасибо за выпуск, у вас получился прекрасный коллаб с историком, приглашайте его ещё! С удовольствием посмотрел бы ваш совместный выпуск про Салтычиху",2023-12-13T21:45:33Z,13
Много рекламы,2023-12-13T21:45:32Z,0
Урраааа! Новы выпуск❤❤❤❤,2023-12-13T21:33:03Z,0
Еще один пример как дискриминация и жестокость порождает такие группировки как «черная рука». Сами же и «создали» себе проблему.,2023-12-13T21:31:53Z,1
"честно говоря, преступные группы, меня интересуют больше маньяков, поэтому выпуску был рад вдвойне",2023-12-13T21:19:10Z,0
"Похороны и что скажут после смерти, являются показателем сколько добра ты зделалив своей жизни. Спасибо за познавательную историю.",2023-12-13T21:18:36Z,7
Обожаю Сашу Сулим!),2023-12-13T21:17:42Z,0
"Большое спасибо за выпуск) Здорово, что рассказали именно про детектива и его работу)",2023-12-13T21:12:36Z,2
Большое спасибо за видео и отдельное спасибо за Алексея Кузнецова💜💜,2023-12-13T21:10:06Z,2
"Выведите в топ, хочу выпуск об опг бирмингема, острые козырьки, реальная история))",2023-12-13T21:07:57Z,0
"Саша, выпуск, как всегда, прекрасен! Очень хотелось бы услышать от тебя про Олега Кузнецова ( он же Лжедмитрий). Благодарю за то, что ты делаешь❤",2023-12-13T21:01:30Z,1
Блин...страшная. Без обид😢😢😢😮страшная как моя бывшая...е...бал и плакал,2023-12-13T21:00:57Z,0
