Комментарий,Время,Лайки
"Отписываюсь от вашего канала,т.к. увидела, что вы были на этой безобразной вечеринке!!!! Фу....Содом и Гоммора. Противно..",2023-12-22T15:43:53Z,7
"Прзор журналисту участику вакханалии!!🎉😢🎉😢
Стыд и срам..дешовка!!",2023-12-22T14:51:30Z,9
Отдельное спасибо за Алексея Валерьевича❤,2023-12-22T13:42:16Z,0
"Видел фото Саши на знаменитой вечеринке, которую сейчас обсуждают. И многие осуждают.",2023-12-22T13:36:38Z,5
Ну как же так....отписка,2023-12-22T12:01:26Z,8
Отписка однозначно!,2023-12-22T11:42:33Z,9
"Ну, не знаю
Для меня ""Чёрная Рука"" — это организация сербских националистов, член которой дал повод для начала имперской войны.",2023-12-22T10:02:10Z,1
"САША ….. сделай ВЫПУСК ПРО ЛЕНИНГРАДСКУЮ ОБЛ 
ЯВНО ТАМ ТОЖЕ БЫВАЛИ ЗЛОДЕИ 😢",2023-12-22T08:07:49Z,0
"Такую скромную из себя строит, а сама на голую вечеринку ивлеевой поперлась, надеюсь и тебя накажут",2023-12-22T08:01:43Z,11
Прокоментируйте своё появление на вечеринке Ивлеевой,2023-12-22T07:15:39Z,11
"Смотрел вас, отписался, как вам не стыдно посещать данное заведение, думал о вас лучше.",2023-12-22T05:54:58Z,10
"Сулим ну ёпт, ты то зачем пошла пи*дой светить к деревенской шаболде Ивлеевой? Считал тебя здравомыслящей женщиной)",2023-12-22T05:46:05Z,15
"Мое сознательное общество отписывается от вас, вещайте для ботов и чертей с вашего бала сатаны, тьфу",2023-12-22T04:56:44Z,11
"Зашкварилась на голой вечеринке,птьфу мля, страшная как смерть и туда же,такое прятать надо) а не показывать,позор",2023-12-22T04:26:36Z,12
"Саша, всегда ждала Ваши выпуски, думала что Вы особенная!…. Ужасное разочарование, зачем Вам это было нужно? Это позор.",2023-12-22T03:25:30Z,14
Как погуляла у Ивлеевой?,2023-12-22T03:09:55Z,11
как вечеринка прошла?,2023-12-22T02:29:10Z,9
Проститутка как и Собчак. Отписка,2023-12-22T01:07:30Z,10
"После твоей вечеринки у ивлевой,ты упала в глазах многих твоих поклонников",2023-12-21T20:20:07Z,17
"Как было приятно на этом канале. Но после фото с вечеринки, отписка. Пусть менее интересные посмотрю. Но переварить это фото и твоё появление на этом шабаше не вариант.",2023-12-21T20:15:26Z,13
Вы были на вечеринке маньяков искали????😢😢😢накуй вас и вашу передачу,2023-12-21T19:37:12Z,12
Как Саша вечеринка?,2023-12-21T17:59:49Z,9
Саша была на голой вечеринке в клубе у Ивлеевой. Однако...,2023-12-21T17:54:35Z,12
Он портир репутацию мафии. В штатах,2023-12-21T17:46:14Z,1
"Сулим это залупа, читает текс из источников, непосредственно интерью с участниками или экспертами почти нет, одним словом коньектурщик, и еще постоянно вставляет свое лицо что в дальнейшем заключать рекламу",2023-12-21T17:37:03Z,5
"Расскажи о Педро Алонсо Лопэсе, Генри Ли Лукаса и Гэри Леона Риджуэя.",2023-12-21T17:24:52Z,0
Как тебе корпоратив мразота???,2023-12-21T16:20:08Z,12
"Саша, ну КАК ТАК??? А??? А главное ЗАЧЕМ???? НАХУЯ вам этот пидорский пиар?",2023-12-21T14:00:09Z,13
"Ну чего Саш, как вечеринка в Мутаборе? Зачем было так шквариться об этих петушков?",2023-12-21T13:05:49Z,12
интересно,2023-12-21T12:36:41Z,0
Как вечеринка в Мутаборе? Понравилась?,2023-12-21T11:29:20Z,13
Как на вечеринке у Ивлеевой ? Всё понравилось ?,2023-12-21T10:26:55Z,15
"увы, организованная преступность, есть ничто иное как порождение капиталистического строе, во время котрого, на определённой стадии происходит сращение преступности и силового аппарата власти; (взятки, коррупция, крышевание и тд)
а полиция есть ничто иное, как часть этого силового аппарата, т.е. когда полиция борется с ОПГ это борба со своей производной;
не думайте, что вот там славные парни
или что у нас таких нет
где капитализм - там будут опг и продажные менты покровительствующие этому;


и что-то мне начинает казаться, что данный канал просто тонко ушел в пропаганду;
когда про РФ - халатность, наплевательство и тд
когда про США - браве полицейские, трукрайм здорового человека, где в фокусе ""хорошие парни""
система порочна; все ""хорошие"" станут ""плохими"" или погибнут;

оно одинаково и у нас и у них;  просто мб до нас доводят вот таки ""светлые случаи"" чтобы выглядеть более выигрышно;

Люди, я люблю вас, будьте бдительны!(с)",2023-12-20T23:39:01Z,0
"Саша, расскажи пожалуйста о самых известных ОПГ 90х Ореховских и Солнцевских.",2023-12-20T21:45:22Z,0
"Александра, посмотрел за последние несколько дней много видео с Вашим участием. Хочу сказать Вам - Вы классная! Просто захотелось сказать ) А банды Нью-Йорка я посмотреть еще не успел )",2023-12-20T19:52:42Z,0
саша лучшая,2023-12-20T18:40:31Z,0
"Отличный выпуск👍
Спасибо за Вашу работу!",2023-12-20T17:10:46Z,0
"Это скорее рассказ о Петразино,чем о ""Чёрной руке""",2023-12-20T16:39:17Z,1
"Спасибо большое! Не очень люблю трукрайм, но очень зашла подача про борьбу с крисиналом и героя-детектива. Спасибо!",2023-12-20T16:16:58Z,0
"Помните, еще была история, когда на шоссе (симферопольское?) останавливали машины и убивали людей. Не помню, связано ли было это с ограблением, но людей убивала какая-то банда. Снимите, пожалуйста про них выпуск",2023-12-20T15:48:35Z,0
"Слово ""бесит"" лучше заменить на ""раздражает"".",2023-12-20T15:11:19Z,0
"Александра, а возможно ли подготовить ролик про Анатолия Оноприенко?",2023-12-20T14:43:26Z,0
